"ClassName","URL","NthTable"
"KAgentProcedure","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31641.htm","0"
"KScheduledAgentProcedure","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31643.htm","0"
"KScriptPrompts","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31643.htm","1"
"KRecurrenceOptions","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31643.htm","2"
"KDistributionWindow","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31643.htm","3"
"KStartOptions","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31643.htm","4"
"KExclusionWindow","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31643.htm","5"
"KAgentProcedureHistory","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33679.htm","0"
"KAgentProcedurePrompts","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33679.htm","0"
"KServiceDesk","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33690.htm","0"
"KTicket","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33692.htm","0"
"KTicketStatus","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33694.htm","0"
"KAuditSummary","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31658.htm","0"
"KCredentials","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32439.htm","0"
"KLocalUserGroup","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32441.htm","0"
"KDiskVolume","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32443.htm","0"
"KPciAndDisk","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32445.htm","0"
"KPrinter","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32447.htm","0"
"KLocalGroupMember","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32449.htm","0"
"KAddRemovePrograms","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32451.htm","0"
"KApplication","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32453.htm","0"
"KLicense","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32455.htm","0"
"KSecurityProduct","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#32457.htm","0"
"KStartupApp","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33625.htm","0"
"KLocalUserAccount","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33629.htm","0"
"KPatchStatus","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33673.htm","0"
"KPatch","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33668.htm","0"
"KAgent","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31655.htm","0"
"KAgentView","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33829.htm","0"
"KAsset","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31620.htm","0"
"KAssetAdvanced","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31652.htm","0"
"KAssetType","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31646.htm","0"
"K2faSettings","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#37303.htm","0"
"KRemoteControlNotifyPolicy","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33700.htm","0"
"KDocument","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33637.htm","0"
"KFile","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33641.htm","0"
"KAgentLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33646.htm","0"
"KAgentProcedureLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33644.htm","0"
"KAlarmLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33642.htm","0"
"KConfigChangesLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33647.htm","0"
"KLegacyRemoteControlLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33648.htm","0"
"KMonitorActionLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33650.htm","0"
"KNetworkStatsLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33652.htm","0"
"KRemoteControlLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33654.htm","0"
"KApplicationEventLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33656.htm","0"
"KDirectoryServiceLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33658.htm","0"
"KDNSServerEventLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33659.htm","0"
"KInternetExplorerLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33660.htm","0"
"KSecurityEventLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33661.htm","0"
"KSystemEventLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33662.htm","0"
"KLogMonitoringLog","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33663.htm","0"
"KFunctions","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33704.htm","0"
"KTenant","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31675.htm","0"
"KDepartment","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31684.htm","0"
"KMachineGroup","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#33707.htm","0"
"KOrganization","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31704.htm","0"
"KUserRole","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31713.htm","0"
"KUserRoleType","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31717.htm","0"
"KScope","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31725.htm","0"
"KUser","http://help.kaseya.com/webhelp/EN/RESTAPI/9030000/#31747.htm","0"